"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"25/01/2025";"0000";"23,3";"24,3";"23,3";"68,0";"68,0";"63,0";"17,0";"17,0";"16,6";"887,0";"887,0";"885,8";"1,6";"112,0";"4,4";"";"0,0"
"25/01/2025";"0100";"23,1";"23,3";"23,0";"69,0";"70,0";"68,0";"17,1";"17,4";"17,0";"887,8";"887,8";"887,0";"2,2";"104,0";"3,9";"";"0,0"
"25/01/2025";"0200";"21,8";"23,3";"21,8";"74,0";"74,0";"68,0";"17,1";"17,2";"16,8";"887,8";"887,9";"887,7";"1,3";"120,0";"4,3";"";"0,0"
"25/01/2025";"0300";"22,2";"22,2";"21,1";"70,0";"77,0";"70,0";"16,5";"17,2";"16,5";"888,0";"888,0";"887,7";"1,6";"113,0";"3,4";"";"0,0"
"25/01/2025";"0400";"19,4";"22,3";"19,4";"82,0";"82,0";"68,0";"16,2";"16,5";"15,8";"887,8";"888,0";"887,7";"1,1";"134,0";"3,7";"";"0,0"
"25/01/2025";"0500";"20,3";"21,1";"18,8";"78,0";"87,0";"77,0";"16,4";"16,9";"16,2";"887,1";"887,8";"887,0";"1,2";"112,0";"2,9";"";"0,0"
"25/01/2025";"0600";"19,5";"20,5";"18,2";"87,0";"91,0";"78,0";"17,2";"17,2";"16,1";"887,0";"887,1";"887,0";"0,9";"166,0";"2,9";"";"0,0"
"25/01/2025";"0700";"20,8";"20,8";"18,1";"79,0";"90,0";"79,0";"17,0";"17,4";"16,4";"886,6";"887,0";"886,6";"1,8";"99,0";"3,2";"";"0,0"
"25/01/2025";"0800";"17,8";"21,1";"17,7";"92,0";"92,0";"77,0";"16,4";"16,9";"15,9";"886,8";"886,9";"886,6";"0,5";"100,0";"3,2";"";"0,0"
"25/01/2025";"0900";"18,1";"19,7";"17,4";"89,0";"94,0";"85,0";"16,3";"17,8";"16,2";"887,3";"887,3";"886,8";"0,9";"100,0";"2,3";"";"0,0"
"25/01/2025";"1000";"21,4";"21,4";"17,6";"78,0";"94,0";"78,0";"17,5";"18,3";"16,3";"888,4";"888,4";"887,3";"1,3";"60,0";"2,7";"217,60";"0,0"
